Date_reported,Country,WHO_region,New_cases,Cumulative_cases,Cumulative_cases,New_deaths,Cumulative_deaths
13-Jul-21,India,SEAR,32906,30907282,30907282,2020,410784
14-Jul-21,India,SEAR,38792,30946074,30946074,624,411408
15-Jul-21,India,SEAR,41806,30987880,30987880,581,411989
16-Jul-21,India,SEAR,38949,31026829,31026829,542,412531
17-Jul-21,India,SEAR,38079,31064908,31064908,560,413091
18-Jul-21,India,SEAR,41157,31106065,31106065,518,413609
19-Jul-21,India,SEAR,38164,31144229,31144229,499,414108
20-Jul-21,India,SEAR,30093,31174322,31174322,374,414482
21-Jul-21,India,SEAR,42015,31216337,31216337,3998,418480
22-Jul-21,India,SEAR,41383,31257720,31257720,507,418987
23-Jul-21,India,SEAR,35342,31293062,31293062,483,419470
24-Jul-21,India,SEAR,39097,31332159,31332159,546,420016
25-Jul-21,India,SEAR,39742,31371901,31371901,535,420551
26-Jul-21,India,SEAR,39361,31411262,31411262,416,420967
27-Jul-21,India,SEAR,29689,31440951,31440951,415,421382
28-Jul-21,India,SEAR,43654,31484605,31484605,640,422022
29-Jul-21,India,SEAR,43509,31528114,31528114,640,422662
30-Jul-21,India,SEAR,44230,31572344,31572344,555,423217
31-Jul-21,India,SEAR,41649,31613993,31613993,593,423810
01-Aug-21,India,SEAR,41831,31655824,31655824,541,424351
02-Aug-21,India,SEAR,40134,31695958,31695958,422,424773
03-Aug-21,India,SEAR,30549,31726507,31726507,422,425195
04-Aug-21,India,SEAR,42625,31769132,31769132,562,425757
05-Aug-21,India,SEAR,42982,31812114,31812114,533,426290
06-Aug-21,India,SEAR,44643,31856757,31856757,464,426754
07-Aug-21,India,SEAR,38628,31895385,31895385,617,427371
08-Aug-21,India,SEAR,39070,31934455,31934455,491,427862
09-Aug-21,India,SEAR,35499,31969954,31969954,447,428309
10-Aug-21,India,SEAR,28204,31998158,31998158,373,428682
11-Aug-21,India,SEAR,38353,32036511,32036511,497,429179
12-Aug-21,India,SEAR,41195,32077706,32077706,490,429669
13-Aug-21,India,SEAR,40120,32117826,32117826,585,430254
14-Aug-21,India,SEAR,38667,32156493,32156493,478,430732
15-Aug-21,India,SEAR,36083,32192576,32192576,493,431225
16-Aug-21,India,SEAR,32937,32225513,32225513,417,431642
17-Aug-21,India,SEAR,25166,32250679,32250679,437,432079
18-Aug-21,India,SEAR,35178,32285857,32285857,440,432519
19-Aug-21,India,SEAR,36401,32322258,32322258,530,433049
20-Aug-21,India,SEAR,36571,32358829,32358829,540,433589
21-Aug-21,India,SEAR,34457,32393286,32393286,375,433964
22-Aug-21,India,SEAR,30948,32424234,32424234,403,434367
23-Aug-21,India,SEAR,25072,32449306,32449306,389,434756
24-Aug-21,India,SEAR,25467,32474773,32474773,354,435110
25-Aug-21,India,SEAR,37593,32512366,32512366,648,435758
26-Aug-21,India,SEAR,46164,32558530,32558530,607,436365
27-Aug-21,India,SEAR,44658,32603188,32603188,496,436861
28-Aug-21,India,SEAR,46759,32649947,32649947,509,437370
29-Aug-21,India,SEAR,45083,32695030,32695030,460,437830
30-Aug-21,India,SEAR,42909,32737939,32737939,380,438210
31-Aug-21,India,SEAR,30941,32768880,32768880,350,438560
01-Sep-21,India,SEAR,41965,32810845,32810845,460,439020
02-Sep-21,India,SEAR,47092,32857937,32857937,509,439529
03-Sep-21,India,SEAR,45352,32903289,32903289,366,439895
04-Sep-21,India,SEAR,42618,32945907,32945907,330,440225
05-Sep-21,India,SEAR,42766,32988673,32988673,308,440533
06-Sep-21,India,SEAR,38948,33027621,33027621,219,440752
07-Sep-21,India,SEAR,31222,33058843,33058843,290,441042
